"book_name", "chapter_number", "chunk_list_id", "original_text_chunk", "original_text_chunk_char_count","summary_chunk","summary_text_chunk_char_count"
Sherlock Homes,7,1,"['I had called upon myfriend Sherlock Holmes upon the second morning after Christmas, with theintention of wishing him the compliments of the season. He was lounging uponthe sofa in a purple dressing-gown, a pipe-rack within his reach upon theright, and a pile of crumpled morning papers, evidently newly studied, near athand. Beside the couch was a wooden chair, and on the angle of the back hung avery seedy and disreputable hard-felt hat, much the worse for wear, and crackedin several places. A lens and a forceps lying upon the seat of the chairsuggested that the hat had been suspended in this manner for the purpose ofexamination. “You are engaged,” said I; “perhaps I interrupt you.” “Not at all. I am glad to have a friend with whom I can discuss myresults. The matter is a perfectly trivial one”—he jerked his thumbin the direction of the old hat—“but there are points in connectionwith it which are not entirely devoid of interest and even ofinstruction.” I seated myself in his armchair and warmed my hands before his crackling fire,for a sharp frost had set in, and the windows were thick with the ice crystals.“I suppose,” I remarked, “that, homely as it looks, thisthing has some deadly story linked on to it—that it is the clue whichwill guide you in the solution of some mystery and the punishment of somecrime.” “No, no. No crime,” said Sherlock Holmes, laughing. “Only oneof those whimsical little incidents which will happen when you have fourmillion human beings all jostling each other within the space of a few squaremiles. Amid the action and reaction of so dense a swarm of humanity, everypossible combination of events may be expected to take place, and many a littleproblem will be presented which may be striking and bizarre without beingcriminal. We have already had experience of such.” “So much so,” I remarked, “that of the last six cases which Ihave added to my notes, three have been entirely free of any legalcrime.” “Precisely. You allude to my attempt to recover the Irene Adler papers,to the singular case of Miss Mary Sutherland, and to the adventure of the manwith the twisted lip. Well, I have no doubt that this small matter will fallinto the same innocent category. You know Peterson, the commissionaire?” “Yes.” “It is to him that this trophy belongs.” “It is his hat.” “No, no, he found it. Its owner is unknown. I beg that you will look uponit not as a battered billycock but as an intellectual problem. And, first, asto how it came here. It arrived upon Christmas morning, in company with a goodfat goose, which is, I have no doubt, roasting at this moment in front ofPeterson’s fire. The facts are these: about four o’clock onChristmas morning, Peterson, who, as you know, is a very honest fellow, wasreturning from some small jollification and was making his way homeward downTottenham Court Road. In front of him he saw, in the gaslight, a tallish man,']",2900,"The narrator visits Sherlock Holmes post-Christmas and finds him examining a battered hat. Holmes, in a casual manner, discusses the hat as an 'intellectual problem' rather than a criminal clue. He explains that this hat, along with a goose, was found on Christmas morning by a man named Peterson. Despite the mundane nature of the object, Holmes finds the circumstances of its discovery interesting and potentially instructive.",428
Sherlock Homes,7,2,"['walking with a slight stagger, and carrying a white goose slung over hisshoulder. As he reached the corner of Goodge Street, a row broke out betweenthis stranger and a little knot of roughs. One of the latter knocked off theman’s hat, on which he raised his stick to defend himself and, swingingit over his head, smashed the shop window behind him. Peterson had rushedforward to protect the stranger from his assailants; but the man, shocked athaving broken the window, and seeing an official-looking person in uniformrushing towards him, dropped his goose, took to his heels, and vanished amidthe labyrinth of small streets which lie at the back of Tottenham Court Road.The roughs had also fled at the appearance of Peterson, so that he was left inpossession of the field of battle, and also of the spoils of victory in theshape of this battered hat and a most unimpeachable Christmas goose.” “Which surely he restored to their owner?” “My dear fellow, there lies the problem. It is true that ‘For Mrs.Henry Baker’ was printed upon a small card which was tied to thebird’s left leg, and it is also true that the initials ‘H.B.’ are legible upon the lining of this hat, but as there are somethousands of Bakers, and some hundreds of Henry Bakers in this city of ours, itis not easy to restore lost property to any one of them.” “What, then, did Peterson do?” “He brought round both hat and goose to me on Christmas morning, knowingthat even the smallest problems are of interest to me. The goose we retaineduntil this morning, when there were signs that, in spite of the slight frost,it would be well that it should be eaten without unnecessary delay. Its finderhas carried it off, therefore, to fulfil the ultimate destiny of a goose, whileI continue to retain the hat of the unknown gentleman who lost his Christmasdinner.” “Did he not advertise?” “No.” “Then, what clue could you have as to his identity?” “Only as much as we can deduce.” “From his hat?” “Precisely.” “But you are joking. What can you gather from this old batteredfelt?” “Here is my lens. You know my methods. What can you gather yourself as tothe individuality of the man who has worn this article?” I took the tattered object in my hands and turned it over rather ruefully. Itwas a very ordinary black hat of the usual round shape, hard and much the worsefor wear. The lining had been of red silk, but was a good deal discoloured.There was no maker’s name; but, as Holmes had remarked, the initials“H. B.” were scrawled upon one side. It was pierced in the brim fora hat-securer, but the elastic was missing. For the rest, it was cracked,exceedingly dusty, and spotted in several places, although there seemed to havebeen some attempt to hide the discoloured patches by smearing them with ink. “I can see nothing,” said I, handing it back to my friend. “On the contrary, Watson, you can see everything. You fail, however, to']",2896,"The passage describes an episode where a man, carrying a white goose, gets into a fight with some rough individuals. When his hat gets knocked off, he swings a stick to defend himself, unintentionally breaking a shop window. Seeing Peterson, who looks like someone of authority, rushing toward him, the man flees, leaving behind his goose and hat. Peterson, unable to locate the man whose hat had the initials 'H.B.' and a small card tied to the Goose bearing the name 'Mrs. Henry Baker', takes these items to Sherlock Holmes. Holmes and the narrator analyze the hat to try and find some clue to the man's identity. Although the narrator finds it to be just an old, dusty hat, Holmes asserts that it gives important clues about its owner.",738
Sherlock Homes,7,3,"['reason from what you see. You are too timid in drawing your inferences.” “Then, pray tell me what it is that you can infer from this hat?” He picked it up and gazed at it in the peculiar introspective fashion which wascharacteristic of him. “It is perhaps less suggestive than it might havebeen,” he remarked, “and yet there are a few inferences which arevery distinct, and a few others which represent at least a strong balance ofprobability. That the man was highly intellectual is of course obvious upon theface of it, and also that he was fairly well-to-do within the last three years,although he has now fallen upon evil days. He had foresight, but has less nowthan formerly, pointing to a moral retrogression, which, when taken with thedecline of his fortunes, seems to indicate some evil influence, probably drink,at work upon him. This may account also for the obvious fact that his wife hasceased to love him.” “My dear Holmes!” “He has, however, retained some degree of self-respect,” hecontinued, disregarding my remonstrance. “He is a man who leads asedentary life, goes out little, is out of training entirely, is middle-aged,has grizzled hair which he has had cut within the last few days, and which heanoints with lime-cream. These are the more patent facts which are to bededuced from his hat. Also, by the way, that it is extremely improbable that hehas gas laid on in his house.” “You are certainly joking, Holmes.” “Not in the least. Is it possible that even now, when I give you theseresults, you are unable to see how they are attained?” “I have no doubt that I am very stupid, but I must confess that I amunable to follow you. For example, how did you deduce that this man wasintellectual?” For answer Holmes clapped the hat upon his head. It came right over theforehead and settled upon the bridge of his nose. “It is a question ofcubic capacity,” said he; “a man with so large a brain must havesomething in it.” “The decline of his fortunes, then?” “This hat is three years old. These flat brims curled at the edge came inthen. It is a hat of the very best quality. Look at the band of ribbed silk andthe excellent lining. If this man could afford to buy so expensive a hat threeyears ago, and has had no hat since, then he has assuredly gone down in theworld.” “Well, that is clear enough, certainly. But how about the foresight andthe moral retrogression?” Sherlock Holmes laughed. “Here is the foresight,” said he puttinghis finger upon the little disc and loop of the hat-securer. “They arenever sold upon hats. If this man ordered one, it is a sign of a certain amountof foresight, since he went out of his way to take this precaution against thewind. But since we see that he has broken the elastic and has not troubled toreplace it, it is obvious that he has less foresight now than formerly, whichis a distinct proof of a weakening nature. On the other hand, he has']",2897,"The character speaking is Sherlock Holmes, who is examining a hat to deduce information about its owner. He asserts that the man is highly intellectual, had been well-off three years ago but is now facing financial troubles. Holmes suggests that the man's current state could be due to alcohol. Furthermore, he deduces that the man is middle-aged, leads a sedentary life, and is likely facing marital issues as his wife may no longer love him. He has recently had his hair cut and applies lime-cream. It's unlikely that he has gas in his house. Holmes explains his reasoning behind these deductions, including the size of the hat alluding to the man's intellect, and the quality and age of the hat indicating a prior wealthy status. Moreover, taking measures against wind suggests foresight, but the broken elastic suggests the lack thereof.",841
Sherlock Homes,7,4,"['endeavoured to conceal some of these stains upon the felt by daubing them withink, which is a sign that he has not entirely lost his self-respect.” “Your reasoning is certainly plausible.” “The further points, that he is middle-aged, that his hair is grizzled,that it has been recently cut, and that he uses lime-cream, are all to begathered from a close examination of the lower part of the lining. The lensdiscloses a large number of hair-ends, clean cut by the scissors of the barber.They all appear to be adhesive, and there is a distinct odour of lime-cream.This dust, you will observe, is not the gritty, grey dust of the street but thefluffy brown dust of the house, showing that it has been hung up indoors mostof the time, while the marks of moisture upon the inside are proof positivethat the wearer perspired very freely, and could therefore, hardly be in thebest of training.” “But his wife—you said that she had ceased to love him.” “This hat has not been brushed for weeks. When I see you, my dear Watson,with a week’s accumulation of dust upon your hat, and when your wifeallows you to go out in such a state, I shall fear that you also have beenunfortunate enough to lose your wife’s affection.” “But he might be a bachelor.” “Nay, he was bringing home the goose as a peace-offering to his wife.Remember the card upon the bird’s leg.” “You have an answer to everything. But how on earth do you deduce thatthe gas is not laid on in his house?” “One tallow stain, or even two, might come by chance; but when I see noless than five, I think that there can be little doubt that the individual mustbe brought into frequent contact with burning tallow—walks upstairs atnight probably with his hat in one hand and a guttering candle in the other.Anyhow, he never got tallow-stains from a gas-jet. Are you satisfied?” “Well, it is very ingenious,” said I, laughing; “but since,as you said just now, there has been no crime committed, and no harm done savethe loss of a goose, all this seems to be rather a waste of energy.” Sherlock Holmes had opened his mouth to reply, when the door flew open, andPeterson, the commissionaire, rushed into the apartment with flushed cheeks andthe face of a man who is dazed with astonishment. “The goose, Mr. Holmes! The goose, sir!” he gasped. “Eh? What of it, then? Has it returned to life and flapped off throughthe kitchen window?” Holmes twisted himself round upon the sofa to get afairer view of the man’s excited face. “See here, sir! See what my wife found in its crop!” He held outhis hand and displayed upon the centre of the palm a brilliantly scintillatingblue stone, rather smaller than a bean in size, but of such purity and radiancethat it twinkled like an electric point in the dark hollow of his hand. Sherlock Holmes sat up with a whistle. “By Jove, Peterson!” saidhe, “this is treasure trove indeed. I suppose you know what you havegot?”']",2899,"In the excerpt from Arthur Conan Doyle's ""The Adventure of the Blue Carbuncle,"" Sherlock Holmes uses a hat to make detailed deductions about its owner. He guesses the owner dyes his graying hair, uses lime cream, and is not physically fit based on an examination of the hat's lining. From the hat's dirty state, he surmises the owner's wife has stopped caring about his appearance, indicating marital trouble. Holmes gathers the man uses candles instead of gas since there are numerous tallow stains on the hat. This conversation is interrupted when the commissionaire, Peterson, rushes in revealing that his wife found a valuable blue stone in the goose he was bringing home. Holmes is excited by the discovery.",712
Sherlock Homes,7,5,"['got?” “A diamond, sir? A precious stone. It cuts into glass as though it wereputty.” “It’s more than a precious stone. It is the preciousstone.” “Not the Countess of Morcar’s blue carbuncle!” I ejaculated. “Precisely so. I ought to know its size and shape, seeing that I haveread the advertisement about it in The Times every day lately. It isabsolutely unique, and its value can only be conjectured, but the rewardoffered of £ 1000 is certainly not within a twentieth part of the marketprice.” “A thousand pounds! Great Lord of mercy!” The commissionaireplumped down into a chair and stared from one to the other of us. “That is the reward, and I have reason to know that there are sentimentalconsiderations in the background which would induce the Countess to part withhalf her fortune if she could but recover the gem.” “It was lost, if I remember aright, at the Hotel Cosmopolitan,” Iremarked. “Precisely so, on December 22nd, just five days ago. John Horner, aplumber, was accused of having abstracted it from the lady’s jewel-case.The evidence against him was so strong that the case has been referred to theAssizes. I have some account of the matter here, I believe.” He rummagedamid his newspapers, glancing over the dates, until at last he smoothed oneout, doubled it over, and read the following paragraph: “Hotel Cosmopolitan Jewel Robbery. John Horner, 26, plumber, was broughtup upon the charge of having upon the 22nd inst., abstracted from thejewel-case of the Countess of Morcar the valuable gem known as the bluecarbuncle. James Ryder, upper-attendant at the hotel, gave his evidence to theeffect that he had shown Horner up to the dressing-room of the Countess ofMorcar upon the day of the robbery in order that he might solder the second barof the grate, which was loose. He had remained with Horner some little time,but had finally been called away. On returning, he found that Horner haddisappeared, that the bureau had been forced open, and that the small moroccocasket in which, as it afterwards transpired, the Countess was accustomed tokeep her jewel, was lying empty upon the dressing-table. Ryder instantly gavethe alarm, and Horner was arrested the same evening; but the stone could not befound either upon his person or in his rooms. Catherine Cusack, maid to theCountess, deposed to having heard Ryder’s cry of dismay on discoveringthe robbery, and to having rushed into the room, where she found matters asdescribed by the last witness. Inspector Bradstreet, B division, gave evidenceas to the arrest of Horner, who struggled frantically, and protested hisinnocence in the strongest terms. Evidence of a previous conviction for robberyhaving been given against the prisoner, the magistrate refused to dealsummarily with the offence, but referred it to the Assizes. Horner, who hadshown signs of intense emotion during the proceedings, fainted away at theconclusion and was carried out of court.”']",2926,"The Countess of Morcar has lost her invaluable blue carbuncle, a rare and costly gem. It was stolen recently, on December 22, from the Hotel Cosmopolitan where she was staying. The suspect is John Horner, a plumber who had been in the Countess' room on the day of the theft to repair something. Strong evidence put him on the scene, though the gem was not found on him or in his rooms. The case, which has garnered much attention, has been referred to the Assizes. The Countess is willing to part with a significant portion of her fortune for the gem's return, and a reward of £1000 has been offered for its recovery.",617
Sherlock Homes,7,6,"['conclusion and was carried out of court.” “Hum! So much for the police-court,” said Holmes thoughtfully,tossing aside the paper. “The question for us now to solve is thesequence of events leading from a rifled jewel-case at one end to the crop of agoose in Tottenham Court Road at the other. You see, Watson, our littledeductions have suddenly assumed a much more important and less innocentaspect. Here is the stone; the stone came from the goose, and the goose camefrom Mr. Henry Baker, the gentleman with the bad hat and all the othercharacteristics with which I have bored you. So now we must set ourselves veryseriously to finding this gentleman and ascertaining what part he has played inthis little mystery. To do this, we must try the simplest means first, andthese lie undoubtedly in an advertisement in all the evening papers. If thisfail, I shall have recourse to other methods.” “What will you say?” “Give me a pencil and that slip of paper. Now, then: ‘Found at thecorner of Goodge Street, a goose and a black felt hat. Mr. Henry Baker can havethe same by applying at 6:30 this evening at 221B, Baker Street.’ That isclear and concise.” “Very. But will he see it?” “Well, he is sure to keep an eye on the papers, since, to a poor man, theloss was a heavy one. He was clearly so scared by his mischance in breaking thewindow and by the approach of Peterson that he thought of nothing but flight,but since then he must have bitterly regretted the impulse which caused him todrop his bird. Then, again, the introduction of his name will cause him to seeit, for everyone who knows him will direct his attention to it. Here you are,Peterson, run down to the advertising agency and have this put in the eveningpapers.” “In which, sir?” “Oh, in the Globe, Star, Pall Mall, St.James’s Gazette, Evening News, Standard, Echo,and any others that occur to you.” “Very well, sir. And this stone?” “Ah, yes, I shall keep the stone. Thank you. And, I say, Peterson, justbuy a goose on your way back and leave it here with me, for we must have one togive to this gentleman in place of the one which your family is nowdevouring.” When the commissionaire had gone, Holmes took up the stone and held it againstthe light. “It’s a bonny thing,” said he. “Just see howit glints and sparkles. Of course it is a nucleus and focus of crime. Everygood stone is. They are the devil’s pet baits. In the larger and olderjewels every facet may stand for a bloody deed. This stone is not yet twentyyears old. It was found in the banks of the Amoy River in southern China and isremarkable in having every characteristic of the carbuncle, save that it isblue in shade instead of ruby red. In spite of its youth, it has already asinister history. There have been two murders, a vitriol-throwing, a suicide,and several robberies brought about for the sake of this forty-grain weight ofcrystallised charcoal. Who would think that so pretty a toy would be a purveyor']",2942,"The narrative segment describes the investigations of detective Sherlock Holmes and his assistant, Dr. Watson, in solving the mystery connecting a theft case involving a rifled jewel-case and a goose found in Tottenham Court Road. Holmes deduces that the crucial jewel had been retrieved from the body of a goose, which was given by a Mr. Henry Baker. Thus, the next step is to identify and locate Mr. Henry Baker. First, Holmes decides to place an advertisement in major evening newspapers, intended to invite Mr. Baker to collect his lost items at Sherlock's residence. Holmes then instructs Peterson to purchase a new goose and place the ad in specific newspapers. He also keeps the stolen jewel, elaborating on its history of violence, its origin and its unique blue colour.",778
Sherlock Homes,7,7,"['to the gallows and the prison? I’ll lock it up in my strong box now anddrop a line to the Countess to say that we have it.” “Do you think that this man Horner is innocent?” “I cannot tell.” “Well, then, do you imagine that this other one, Henry Baker, hadanything to do with the matter?” “It is, I think, much more likely that Henry Baker is an absolutelyinnocent man, who had no idea that the bird which he was carrying was ofconsiderably more value than if it were made of solid gold. That, however, Ishall determine by a very simple test if we have an answer to ouradvertisement.” “And you can do nothing until then?” “Nothing.” “In that case I shall continue my professional round. But I shall comeback in the evening at the hour you have mentioned, for I should like to seethe solution of so tangled a business.” “Very glad to see you. I dine at seven. There is a woodcock, I believe.By the way, in view of recent occurrences, perhaps I ought to ask Mrs. Hudsonto examine its crop.” I had been delayed at a case, and it was a little after half-past six when Ifound myself in Baker Street once more. As I approached the house I saw a tallman in a Scotch bonnet with a coat which was buttoned up to his chin waitingoutside in the bright semicircle which was thrown from the fanlight. Just as Iarrived the door was opened, and we were shown up together to Holmes’room. “Mr. Henry Baker, I believe,” said he, rising from his armchair andgreeting his visitor with the easy air of geniality which he could so readilyassume. “Pray take this chair by the fire, Mr. Baker. It is a cold night,and I observe that your circulation is more adapted for summer than for winter.Ah, Watson, you have just come at the right time. Is that your hat, Mr.Baker?” “Yes, sir, that is undoubtedly my hat.” He was a large man with rounded shoulders, a massive head, and a broad,intelligent face, sloping down to a pointed beard of grizzled brown. A touch ofred in nose and cheeks, with a slight tremor of his extended hand, recalledHolmes’ surmise as to his habits. His rusty black frock-coat was buttonedright up in front, with the collar turned up, and his lank wrists protrudedfrom his sleeves without a sign of cuff or shirt. He spoke in a slow staccatofashion, choosing his words with care, and gave the impression generally of aman of learning and letters who had had ill-usage at the hands of fortune. “We have retained these things for some days,” said Holmes,“because we expected to see an advertisement from you giving youraddress. I am at a loss to know now why you did not advertise.” Our visitor gave a rather shamefaced laugh. “Shillings have not been soplentiful with me as they once were,” he remarked. “I had no doubtthat the gang of roughs who assaulted me had carried off both my hat and thebird. I did not care to spend more money in a hopeless attempt at recoveringthem.”']",2871,"The excerpt is a conversation from Sherlock Holmes story, where two characters - the detective, Holmes, and his friend Watson, are discussing a case involving a man named Horner who is suspected of a wrongdoing. Another man named Henry Baker is also involved to some extent. They are trying to figure out the innocence or guilt of these men, the value of a bird, and the significance of a lost hat. They have an advertisement out related to the case, responses to which will yield further clues. Mr. Baker eventually shows up at Holmes's residence, appearing to be a learned man who had faced misfortune. He explains that he did not respond to their advertisement earlier because he lacked funds and had assumed the assailants had stolen his hat and the bird.",759
Sherlock Homes,7,8,"['them.” “Very naturally. By the way, about the bird, we were compelled to eatit.” “To eat it!” Our visitor half rose from his chair in hisexcitement. “Yes, it would have been of no use to anyone had we not done so. But Ipresume that this other goose upon the sideboard, which is about the sameweight and perfectly fresh, will answer your purpose equally well?” “Oh, certainly, certainly,” answered Mr. Baker with a sigh ofrelief. “Of course, we still have the feathers, legs, crop, and so on of your ownbird, so if you wish—” The man burst into a hearty laugh. “They might be useful to me as relicsof my adventure,” said he, “but beyond that I can hardly see whatuse the disjecta membra of my late acquaintance are going to be to me.No, sir, I think that, with your permission, I will confine my attentions tothe excellent bird which I perceive upon the sideboard.” Sherlock Holmes glanced sharply across at me with a slight shrug of hisshoulders. “There is your hat, then, and there your bird,” said he. “Bythe way, would it bore you to tell me where you got the other one from? I amsomewhat of a fowl fancier, and I have seldom seen a better grown goose.” “Certainly, sir,” said Baker, who had risen and tucked his newlygained property under his arm. “There are a few of us who frequent theAlpha Inn, near the Museum—we are to be found in the Museum itself duringthe day, you understand. This year our good host, Windigate by name, instituteda goose club, by which, on consideration of some few pence every week, we wereeach to receive a bird at Christmas. My pence were duly paid, and the rest isfamiliar to you. I am much indebted to you, sir, for a Scotch bonnet is fittedneither to my years nor my gravity.” With a comical pomposity of mannerhe bowed solemnly to both of us and strode off upon his way. “So much for Mr. Henry Baker,” said Holmes when he had closed thedoor behind him. “It is quite certain that he knows nothing whateverabout the matter. Are you hungry, Watson?” “Not particularly.” “Then I suggest that we turn our dinner into a supper and follow up thisclue while it is still hot.” “By all means.” It was a bitter night, so we drew on our ulsters and wrapped cravats about ourthroats. Outside, the stars were shining coldly in a cloudless sky, and thebreath of the passers-by blew out into smoke like so many pistol shots. Ourfootfalls rang out crisply and loudly as we swung through the doctors’quarter, Wimpole Street, Harley Street, and so through Wigmore Street intoOxford Street. In a quarter of an hour we were in Bloomsbury at the Alpha Inn,which is a small public-house at the corner of one of the streets which runsdown into Holborn. Holmes pushed open the door of the private bar and orderedtwo glasses of beer from the ruddy-faced, white-aproned landlord. “Your beer should be excellent if it is as good as your geese,”said he. “My geese!” The man seemed surprised.']",2899,"At the start of the passage, the visitor, Mr. Baker, is shocked to learn that the goose he'd originally come for had been eaten. However, he is reassured when he is offered another fresh goose of the same weight. He declines the offer to take the remains of his previous bird, instead choosing to focus on the fresh one. Baker explains that he got his original goose from a goose club at the Alpha Inn, near the Museum, where he and others visit during the day. The club's host, Mr. Windigate, had instituted a policy where everyone would receive a bird for Christmas in return for a few pence every week. After Baker leaves, Holmes and his associate, Watson, decide to follow up on the lead and visit the Alpha Inn in Bloomsbury. Holmes comments on the quality of the geese to the landlord, who seems surprised to hear this.",828
Sherlock Homes,7,9,"['“My geese!” The man seemed surprised. “Yes. I was speaking only half an hour ago to Mr. Henry Baker, who was amember of your goose club.” “Ah! yes, I see. But you see, sir, them’s not ourgeese.” “Indeed! Whose, then?” “Well, I got the two dozen from a salesman in Covent Garden.” “Indeed? I know some of them. Which was it?” “Breckinridge is his name.” “Ah! I don’t know him. Well, here’s your good healthlandlord, and prosperity to your house. Good-night.” “Now for Mr. Breckinridge,” he continued, buttoning up his coat aswe came out into the frosty air. “Remember, Watson that though we have sohomely a thing as a goose at one end of this chain, we have at the other a manwho will certainly get seven years’ penal servitude unless we canestablish his innocence. It is possible that our inquiry may but confirm hisguilt; but, in any case, we have a line of investigation which has been missedby the police, and which a singular chance has placed in our hands. Let usfollow it out to the bitter end. Faces to the south, then, and quickmarch!” We passed across Holborn, down Endell Street, and so through a zigzag of slumsto Covent Garden Market. One of the largest stalls bore the name ofBreckinridge upon it, and the proprietor a horsey-looking man, with a sharpface and trim side-whiskers was helping a boy to put up the shutters. “Good-evening. It’s a cold night,” said Holmes. The salesman nodded and shot a questioning glance at my companion. “Sold out of geese, I see,” continued Holmes, pointing at the bareslabs of marble. “Let you have five hundred to-morrow morning.” “That’s no good.” “Well, there are some on the stall with the gas-flare.” “Ah, but I was recommended to you.” “Who by?” “The landlord of the Alpha.” “Oh, yes; I sent him a couple of dozen.” “Fine birds they were, too. Now where did you get them from?” To my surprise the question provoked a burst of anger from the salesman. “Now, then, mister,” said he, with his head cocked and his armsakimbo, “what are you driving at? Let’s have it straight,now.” “It is straight enough. I should like to know who sold you the geesewhich you supplied to the Alpha.” “Well then, I shan’t tell you. So now!” “Oh, it is a matter of no importance; but I don’t know why youshould be so warm over such a trifle.” “Warm! You’d be as warm, maybe, if you were as pestered as I am.When I pay good money for a good article there should be an end of thebusiness; but it’s ‘Where are the geese?’ and ‘Who didyou sell the geese to?’ and ‘What will you take for thegeese?’ One would think they were the only geese in the world, to hearthe fuss that is made over them.” “Well, I have no connection with any other people who have been makinginquiries,” said Holmes carelessly. “If you won’t tell us thebet is off, that is all. But I’m always ready to back my opinion on amatter of fowls, and I have a fiver on it that the bird I ate is countrybred.”']",2898,"Sherlock Holmes is investigating a crime that has started with a batch of geese sold by a man named Breckinridge. Breckinridge bought the geese from a salesman in Covent Garden, and one of these geese allegedly connects to a man who is on the verge of receiving seven years penal servitude. In the course of the investigation, they visit Breckinridge, but the salesman refuses to divulge his source of geese. Holmes suspects that the geese may be rare or important given the fuss around them but Breckinridge maintains his secrecy. Holmes remains nonchalant and uses the opportunity to place a bet that the eaten goose was country bred.",636
Sherlock Homes,7,10,"['bred.” “Well, then, you’ve lost your fiver, for it’s townbred,” snapped the salesman. “It’s nothing of the kind.” “I say it is.” “I don’t believe it.” “D’you think you know more about fowls than I, who have handledthem ever since I was a nipper? I tell you, all those birds that went to theAlpha were town bred.” “You’ll never persuade me to believe that.” “Will you bet, then?” “It’s merely taking your money, for I know that I am right. ButI’ll have a sovereign on with you, just to teach you not to beobstinate.” The salesman chuckled grimly. “Bring me the books, Bill,” said he. The small boy brought round a small thin volume and a great greasy-backed one,laying them out together beneath the hanging lamp. “Now then, Mr. Cocksure,” said the salesman, “I thought thatI was out of geese, but before I finish you’ll find that there is stillone left in my shop. You see this little book?” “Well?” “That’s the list of the folk from whom I buy. D’you see?Well, then, here on this page are the country folk, and the numbers after theirnames are where their accounts are in the big ledger. Now, then! You see thisother page in red ink? Well, that is a list of my town suppliers. Now, look atthat third name. Just read it out to me.” “Mrs. Oakshott, 117, Brixton Road—249,” read Holmes. “Quite so. Now turn that up in the ledger.” Holmes turned to the page indicated. “Here you are, ‘Mrs. Oakshott,117, Brixton Road, egg and poultry supplier.’” “Now, then, what’s the last entry?” “‘December 22nd. Twenty-four geese at 7s.6d.’” “Quite so. There you are. And underneath?” “‘Sold to Mr. Windigate of the Alpha, at12s.’” “What have you to say now?” Sherlock Holmes looked deeply chagrined. He drew a sovereign from his pocketand threw it down upon the slab, turning away with the air of a man whosedisgust is too deep for words. A few yards off he stopped under a lamp-post andlaughed in the hearty, noiseless fashion which was peculiar to him. “When you see a man with whiskers of that cut and the ‘Pink’un’ protruding out of his pocket, you can always draw him by abet,” said he. “I daresay that if I had put £ 100 down in front ofhim, that man would not have given me such complete information as was drawnfrom him by the idea that he was doing me on a wager. Well, Watson, we are, Ifancy, nearing the end of our quest, and the only point which remains to bedetermined is whether we should go on to this Mrs. Oakshott to-night, orwhether we should reserve it for to-morrow. It is clear from what that surlyfellow said that there are others besides ourselves who are anxious about thematter, and I should—” His remarks were suddenly cut short by a loud hubbub which broke out from thestall which we had just left. Turning round we saw a little rat-faced fellowstanding in the centre of the circle of yellow light which was thrown by theswinging lamp, while Breckinridge, the salesman, framed in the door of his']",2906,"The story involves a dispute between Sherlock Holmes and a salesman over the origin of a group of geese. The salesman is adamant that the geese were bred in the town, while Holmes strongly disagrees. To settle the dispute, they decide to make a wager. The salesman confidently refers to his business ledger which corroborates his claim by showing a transaction between him and a local geese provider, Mrs. Oakshott, who sold the geese to him. Confronted with such evidence, Holmes is compelled to pay the wager but nevertheless finds the experience amusing. Afterwards, he contemplates visiting Mrs. Oakshott to further his investigation. However, their discussion is interrupted by a commotion from the stall they had just left.",729
